title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type,record_date
江淮iEV 2015款 iEV4 豪华型   ,HC-51073073,?3.00 ,新车指导价16.60万(含税),2015-07,8.49万公里,西安,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵动版   ,HC-62705778,?3.45 ,新车指导价16.50万(含税),2018-05,0.44万公里,宿州,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
北汽新能源 EV系列 2015款 EV200 轻快版   ,HC-58445627,?4.00 ,新车指导价22.70万(含税),2015-10,5.21万公里,武汉,30.4,53.0,180,200,北汽新能源,小型车,2018-11-28
众泰 江南TT 2015款 舒适型   ,HC-57414112,?1.80 ,新车指导价11.40万(含税),2016-12,0.53万公里,晋中,15.2,18.0,110,160,众泰汽车,微型车,2018-11-28
特斯拉MODEL S 2016款 MODEL S 75 ,HC-61163316,?54.00 ,新车指导价83.80万(含税),2016-08,1.25万公里,上海,75,284.8,440,480,特斯拉,中大型车,2018-11-28
北汽新能源 EV系列 2013款 电动版  ,HC-46318473,?4.30 ,新车指导价27.10万(含税),2016-11,0.8万公里,青岛,-,45.0,144,140,北汽新能源,小型车,2018-11-28
众泰E200 2018款 飞鱼座   ,HC-61512100,?5.50 ,新车指导价19.70万(含税),2018-06,0.39万公里,成都,24.5,60.0,160,165,众泰汽车,微型车,2018-11-28
知豆D2 2017款 D2S   ,HC-37675815,?4.30 ,新车指导价20.50万(含税),2017-12,1.18万公里,天津,18,15.0,90,155,知豆电动车,微型车,2018-11-28
北汽新能源 EV系列 2013款 电动版  ,HC-40993930,?3.70 ,新车指导价27.10万(含税),2014-09,1.79万公里,北京,-,45.0,144,140,北汽新能源,小型车,2018-11-28
海马@3 2017款 纯电动 舒适型 ,HC-59816708,?6.50 ,新车指导价16.30万(含税),2016-12,1.29万公里,昆明,26.7,70.0,240,202,海马汽车,紧凑型车,2018-11-28
江淮iEV6S 2016款 智享版   ,HC-59374205,?4.00 ,新车指导价23.90万(含税),2016-05,14.11万公里,武汉,33,85.0,270,251,江淮汽车,小型SUV,2018-11-28
奇瑞QQ3EV 2014款 启航升级版 ,HC-60145840,?1.70 ,新车指导价5.00万(含税),2016-08,1.59万公里,日照,10,12.0,72,120,奇瑞新能源,微型车,2018-11-28
知豆D1 2015款 标准型  ,HC-59099079,?2.20 ,新车指导价17.20万(含税),2015-12,1.46万公里,长春,-,9.0,85,150,知豆电动车,微型车,2018-11-28
特斯拉MODEL S 2014款 MODEL S P85 ,HC-60209268,?40.00 ,新车指导价92.50万(含税),2014-04,7.51万公里,深圳,85,310.0,600,502,特斯拉,中大型车,2018-11-28
特斯拉MODEL S 2015款 MODEL S 85D ,HC-29296402,?47.88 ,新车指导价88.70万(含税),2015-07,7.4万公里,昆明,85,314.7,-,528,特斯拉,中大型车,2018-11-28
康迪 2016款 K10D  ,HC-49660444,?2.49 ,新车指导价16.40万(含税),2016-11,1.57万公里,天津,-,35.0,165,151,康迪电动汽车集团,微型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E  ,HC-58573392,?4.00 ,新车指导价13.90万(含税),2017-07,0.61万公里,杭州,22,45.0,175,170,江淮汽车,微型车,2018-11-28
特斯拉Model X 2016款 Model X 75D  ,HC-56185135,?75.00 ,新车指导价104.70万(含税),2017-07,3.73万公里,上海,75,386.0,-,406,特斯拉,中大型SUV,2018-11-28
江淮iEV 2015款 iEV4 豪华型 ,HC-59817081,?2.48 ,新车指导价16.60万(含税),2015-04,4.51万公里,上海,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
众泰E200 2016款 三门两座科技版  ,HC-59620973,?4.20 ,新车指导价19.70万(含税),2016-11,2.6万公里,青岛,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
江铃集团新能源 江铃E200S 2017款 豪华型   ,HC-49831082,?5.18 ,新车指导价9.60万(含税),2017-12,0.01万公里,湛江,17.3,30.0,150,152,江铃集团新能源,微型车,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵秀版   ,HC-61851061,?3.50 ,新车指导价17.10万(含税),2017-06,1.29万公里,商丘,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
北汽新能源 EV系列 2015款 EV200 轻享版  ,HC-59165278,?4.95 ,新车指导价26.80万(含税),2015-05,2.15万公里,唐山,30.4,53.0,180,200,北汽新能源,小型车,2018-11-28
特斯拉MODEL S 2015款 MODEL S 70D   ,HC-10797064,?48.00 ,新车指导价78.00万(含税),2015-10,4.2万公里,北京,70,245.0,-,442,特斯拉,中大型车,2018-11-28
江铃集团新能源 江铃E100 2016款 标准型   ,HC-60266990,?3.00 ,新车指导价16.90万(含税),2017-11,0.47万公里,荆州,15,20.0,110,152,江铃集团新能源,微型车,2018-11-28
知豆D2 2017款 D2S    ,HC-58461167,?4.68 ,新车指导价20.50万(含税),2018-06,0.15万公里,绍兴,18,15.0,90,155,知豆电动车,微型车,2018-11-28
比亚迪e5 2016款 300 舒适型  ,HC-47857768,?8.99 ,新车指导价24.90万(含税),2017-09,1.73万公里,成都,43,160.0,310,305,比亚迪,紧凑型车,2018-11-28
御捷E行 2018款 标准型    ,HC-58468039,?4.94 ,新车指导价14.80万(含税),2017-11,1.2万公里,青岛,22,36.0,230,153,御捷新能源,微型车,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵动版  ,HC-61745849,?4.00 ,新车指导价16.50万(含税),2017-12,0.58万公里,鄂尔多斯,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
北汽新能源 EC系列 2017款 EC200 灵动版    ,HC-58961800,?5.30 ,新车指导价17.20万(含税),2017-12,0.71万公里,石家庄,-,36.0,140,162,北汽新能源,微型车,2018-11-28
吉利 帝豪EV 2017款 三厢 EV300 精英型   ,HC-62429786,?8.00 ,新车指导价22.30万(含税),2017-03,1.74万公里,北京,41,95.0,240,300,吉利汽车,紧凑型车,2018-11-28
江淮iEV 2015款 iEV5  ,HC-59683756,?4.50 ,新车指导价19.50万(含税),2016-10,1.31万公里,深圳,23,50.0,215,170,江淮汽车,小型车,2018-11-28
北汽新能源 EC系列 2017款 EC200 灵动版   ,HC-59539058,?5.80 ,新车指导价17.20万(含税),2018-05,0.01万公里,合肥,-,36.0,140,162,北汽新能源,微型车,2018-11-28
江淮iEV6S 2016款 智享版  ,HC-38287623,?5.90 ,新车指导价23.90万(含税),2016-07,3.83万公里,北京,33,85.0,270,251,江淮汽车,小型SUV,2018-11-28
北汽新能源 EV系列 2015款 EV160 轻秀版  ,HC-57363150,?3.96 ,新车指导价20.50万(含税),2016-03,1.5万公里,长春,25.6,53.0,180,160,北汽新能源,小型车,2018-11-28
川汽野马 野马T70新能源 2015款 基本型  ,HC-50098857,?8.60 ,新车指导价27.10万(含税),2016-12,3.12万公里,成都,39,90.0,300,150,野马汽车,紧凑型SUV,2018-11-28
北汽新能源 EV系列 2016款 E150EV 经典版  ,HC-62146905,?4.30 ,新车指导价17.20万(含税),2017-12,0.63万公里,温州,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E  ,HC-62357269,?4.40 ,新车指导价13.90万(含税),2017-11,1.35万公里,泉州,22,45.0,175,170,江淮汽车,微型车,2018-11-28
长安 奔奔 2017款 纯电动 180公里时尚型  ,HC-55619244,?4.90 ,新车指导价17.50万(含税),2017-11,0.73万公里,郑州,23.2,55.0,170,180,长安汽车,微型车,2018-11-28
江铃集团新能源江淮iEV6E 2017款 iEV6E  ,HC-35043795,?5.00 ,新车指导价13.90万(含税),2017-05,1.1万公里,菏泽,22,45.0,175,170,江淮汽车,微型车,2018-11-28
知豆D1 2016款 标准型  ,HC-61746208,?3.30 ,新车指导价17.20万(含税),2016-12,0.1万公里,临汾,18,15.0,95,180,知豆电动车,微型车,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵动版    ,HC-58726646,?4.20 ,新车指导价16.50万(含税),2017-06,2.14万公里,北京,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
江铃集团新能源江淮iEV6E 2017款 iEV6E 时光版    ,HC-23568579,?4.08 ,新车指导价12.90万(含税),2017-06,0.17万公里,焦作,19.66,60.0,200,156,江淮汽车,微型车,2018-11-28
江淮iEV 2015款 iEV4 豪华型   ,HC-55551770,?3.42 ,新车指导价16.60万(含税),2015-06,1.66万公里,日照,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
云度π1 2017款 城市乐派型   ,HC-47875237,?7.10 ,新车指导价13.90万(含税),2018-04,0.59万公里,北京,24,55.0,170,150,云度新能源,小型SUV,2018-11-28
江铃集团新能源 江铃E200 2016款 标准型   ,HC-44937791,?3.28 ,新车指导价19.50万(含税),2017-12,0.16万公里,枣庄,17.3,30.0,130,152,江铃集团新能源,微型车,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵动版    ,HC-45112461,?3.70 ,新车指导价16.50万(含税),2017-09,2.09万公里,东营,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
特斯拉MODEL S 2017款 Model S 75D   ,HC-59874624,?71.80 ,新车指导价95.20万(含税),2018-09,0.04万公里,东莞,75,386.0,525,469,特斯拉,中大型车,2018-11-28
特斯拉MODEL S 2015款 MODEL S 85D ,HC-33145811,?51.80 ,新车指导价88.70万(含税),2015-08,9.1万公里,苏州,85,314.7,-,528,特斯拉,中大型车,2018-11-28
知豆D1 2015款 标准型  ,HC-60997047,?1.95 ,新车指导价17.20万(含税),2015-05,1.64万公里,天津,-,9.0,85,150,知豆电动车,微型车,2018-11-28
比亚迪 元 2018款 EV360 智联炫酷型   ,HC-58296323,?8.60 ,新车指导价10.20万(含税),2018-08,0.45万公里,重庆,42,70.0,180,305,比亚迪,小型SUV,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E   ,HC-58508635,?5.70 ,新车指导价13.90万(含税),2018-09,0.34万公里,深圳,22,45.0,175,170,江淮汽车,微型车,2018-11-28
知豆 2014款 标准型   ,HC-57662263,?1.08 ,新车指导价11.80万(含税),2014-12,2.97万公里,佛山,-,9.0,82,120,知豆电动车,微型车,2018-11-28
众泰 2014款 云100 舒适型  ,HC-58542708,?2.60 ,新车指导价17.20万(含税),2014-12,1.79万公里,盐城,18,18.0,120,155,众泰汽车,微型车,2018-11-28
知豆D2 2015款 D2  ,HC-58662804,?2.70 ,新车指导价17.20万(含税),2015-12,3.37万公里,成都,-,9.0,85,180,知豆电动车,微型车,2018-11-28
北汽新能源 EC系列 2017款 EC200 灵动版   ,HC-56659199,?4.40 ,新车指导价17.20万(含税),2017-10,1.73万公里,濮阳,-,36.0,140,162,北汽新能源,微型车,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵动版    ,HC-45112461,?3.70 ,新车指导价16.50万(含税),2017-09,2.09万公里,东营,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
奇瑞eQ 2015款 豪华型  ,HC-59008947,?2.75 ,新车指导价17.90万(含税),2015-01,1.15万公里,上海,22.3,41.8,150,151,奇瑞新能源,微型车,2018-11-28
北汽新能源 EV系列 2015款 EV160 轻快版  ,HC-51967292,?5.00 ,新车指导价19.20万(含税),2015-11,3.09万公里,东莞,25.6,53.0,180,160,北汽新能源,小型车,2018-11-28
北汽新能源 EV系列 2016款 E150EV 经典版  ,HC-58711867,?3.42 ,新车指导价17.20万(含税),2016-06,5.49万公里,武汉,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
知豆D1 2015款 标准型  ,HC-52705843,?1.94 ,新车指导价17.20万(含税),2015-12,1.21万公里,长沙,-,9.0,85,150,知豆电动车,微型车,2018-11-28
众泰E200 2016款 三门两座科技版   ,HC-57162712,?4.50 ,新车指导价19.70万(含税),2017-08,0.38万公里,北京,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
东风小康EC36 2017款 基本型   ,HC-59595934,?6.50 ,新车指导价13.80万(含税),2018-08,0.71万公里,广州,38.2,60.0,191,200,东风小康,微面,2018-11-28
华泰EV160R 2017款 标准型  ,HC-38424220,?2.80 ,新车指导价11.90万(含税),2017-08,3.8万公里,贵阳,19.8,20.0,110,160,华泰新能源,微型车,2018-11-28
江淮iEV 2015款 iEV4 豪华型  ,HC-58670154,?4.00 ,新车指导价16.60万(含税),2016-04,2.72万公里,天津,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
北汽新能源 EV系列 2014款 E150EV 科技版 ,HC-58928724,?3.60 ,新车指导价25.10万(含税),2014-11,5.69万公里,牡丹江,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
众泰E200 2018款 飞鱼座    ,HC-58055070,?4.90 ,新车指导价19.70万(含税),2018-10,0.01万公里,杭州,24.5,60.0,160,165,众泰汽车,微型车,2018-11-28
北汽新能源 EV系列 2016款 E150EV 经典版 ,HC-39439028,?4.40 ,新车指导价17.20万(含税),2016-12,1.51万公里,青岛,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
北汽新能源 EC系列 2017款 EC200 灵秀版  ,HC-62134267,?4.30 ,新车指导价17.90万(含税),2017-10,0.39万公里,温州,-,36.0,140,162,北汽新能源,微型车,2018-11-28
特斯拉MODEL S 2014款 MODEL S P85 ,HC-45115518,?49.00 ,新车指导价92.50万(含税),2015-06,6.72万公里,北京,85,310.0,600,502,特斯拉,中大型车,2018-11-28
知豆D2 2017款 D2 智享版    ,HC-57034669,?3.68 ,新车指导价17.20万(含税),2017-06,0.73万公里,宁波,18,15.0,90,155,知豆电动车,微型车,2018-11-28
众泰 2014款 云100 舒适型  ,HC-58036974,?2.30 ,新车指导价17.20万(含税),2015-12,5.72万公里,石家庄,18,18.0,120,155,众泰汽车,微型车,2018-11-28
奇瑞eQ 2015款 豪华型   ,HC-59205943,?2.75 ,新车指导价17.90万(含税),2015-05,4.42万公里,芜湖,22.3,41.8,150,151,奇瑞新能源,微型车,2018-11-28
北汽新能源 EU系列 2016款 EU260 乐途plus版  ,HC-38370580,?9.80 ,新车指导价26.00万(含税),2016-12,4.31万公里,上海,41.4,100.0,260,260,北汽新能源,紧凑型车,2018-11-28
北汽新能源 EC系列 2017款 EC200 灵动版   ,HC-59612173,?5.80 ,新车指导价17.20万(含税),2018-05,0.02万公里,合肥,-,36.0,140,162,北汽新能源,微型车,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵动版   ,HC-58691994,?4.00 ,新车指导价16.50万(含税),2017-11,0.81万公里,邯郸,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
长城C30新能源 2017款 EV 悦享型   ,HC-58683900,?5.30 ,新车指导价16.30万(含税),2017-12,1.15万公里,保定,26.57,90.0,240,200,长城汽车,紧凑型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版  ,HC-58964790,?4.10 ,新车指导价12.90万(含税),2018-03,0.07万公里,保定,19.66,60.0,200,156,江淮汽车,微型车,2018-11-28
众泰E200 2016款 三门两座科技版   ,HC-56902801,?4.38 ,新车指导价19.70万(含税),2016-09,1.07万公里,中山,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
比亚迪 2016款 秦EV300 尊荣型  ,HC-62298450,?9.00 ,新车指导价31.50万(含税),2016-07,1.61万公里,深圳,47.50,160.0,310,300,比亚迪,紧凑型车,2018-11-28
北汽新能源 EV系列 2016款 EV160 轻快版  ,HC-58108441,?4.50 ,新车指导价19.30万(含税),2016-11,4.38万公里,上海,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
奇瑞eQ 2015款 豪华型 ,HC-57549497,?3.50 ,新车指导价17.90万(含税),2016-05,1.67万公里,北京,22.3,41.8,150,151,奇瑞新能源,微型车,2018-11-28
比亚迪 2017款 秦EV300 尊享型   ,HC-61800578,?13.30 ,新车指导价26.70万(含税),2017-11,1.59万公里,北京,47.5,160.0,310,300,比亚迪,紧凑型车,2018-11-28
江淮iEV 2014款 iEV4  ,HC-55985275,?3.20 ,新车指导价18.40万(含税),2015-06,3.16万公里,上海,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
长安 奔奔 2017款 纯电动 210公里时尚型   ,HC-58164207,?5.00 ,新车指导价18.10万(含税),2017-05,2.07万公里,北京,27.5,55.0,170,210,长安汽车,微型车,2018-11-28
知豆 2014款 标准型  ,HC-59439827,?2.47 ,新车指导价11.80万(含税),2015-05,1.52万公里,临沂,-,9.0,82,120,知豆电动车,微型车,2018-11-28
众泰E200 2016款 三门两座科技版   ,HC-61991307,?4.80 ,新车指导价19.70万(含税),2017-12,2.12万公里,天津,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
北汽新能源 EV系列 2014款 E150EV 科技版 ,HC-62064993,?2.20 ,新车指导价25.10万(含税),2015-03,7.47万公里,上海,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
特斯拉MODEL S 2017款 MODEL S 90D    ,HC-57371886,?76.00 ,新车指导价96.40万(含税),2017-05,2.14万公里,西安,90,386.0,660,557,特斯拉,中大型车,2018-11-28
北汽新能源 EV系列 2015款 EV160 轻快版 ,HC-58408697,?3.00 ,新车指导价19.20万(含税),2015-06,7.09万公里,上海,25.6,53.0,180,160,北汽新能源,小型车,2018-11-28
长安 逸动 2015款 纯电动尊贵型  ,HC-55889874,?4.80 ,新车指导价27.10万(含税),2015-07,4.45万公里,重庆,-,90.0,280,160,长安汽车,紧凑型车,2018-11-28
北汽新能源 EV系列 2015款 EV200 轻快版 ,HC-52901714,?3.98 ,新车指导价22.70万(含税),2015-10,4.3万公里,东莞,30.4,53.0,180,200,北汽新能源,小型车,2018-11-28
江淮iEV7S 2017款 智尊型   ,HC-60101568,?7.80 ,新车指导价22.50万(含税),2018-11,0.02万公里,驻马店,39,85.0,270,280,江淮汽车,小型SUV,2018-11-28
奇瑞eQ1 2017款 智炫版 2座   ,HC-58189635,?4.40 ,新车指导价18.00万(含税),2017-08,1.24万公里,北京,18.2,30.0,120,151,奇瑞新能源,微型车,2018-11-28
东风风神E30 2015款 E30L  ,HC-32841657,?3.40 ,新车指导价21.70万(含税),2015-11,1.8万公里,武汉,20.5,17.0,64,150,东风乘用车,微型车,2018-11-28
奇瑞eQ 2015款 豪华型  ,HC-57131014,?2.40 ,新车指导价17.90万(含税),2015-12,5.09万公里,上海,22.3,41.8,150,151,奇瑞新能源,微型车,2018-11-28
吉利 帝豪EV 2017款 三厢 EV300 精英型    ,HC-58411193,?9.90 ,新车指导价22.30万(含税),2018-05,0.98万公里,苏州,41,95.0,240,300,吉利汽车,紧凑型车,2018-11-28
特斯拉MODEL S 2015款 MODEL S 85D  ,HC-46697781,?47.88 ,新车指导价88.70万(含税),2015-07,8.7万公里,昆明,85,314.7,-,528,特斯拉,中大型车,2018-11-28
传祺GE3 2017款 310 尊享版   ,HC-58280178,?10.30 ,新车指导价26.70万(含税),2018-04,1.21万公里,郑州,47,132.0,290,310,广汽新能源,小型SUV,2018-11-28
知豆D3 2018款 豆牛士版    ,HC-44338466,?4.80 ,新车指导价9.70万(含税),2018-04,0.18万公里,深圳,23,30.0,105,210,知豆电动车,微型车,2018-11-28
北汽新能源 EV系列 2015款 EV160 轻快版  ,HC-57112902,?3.21 ,新车指导价19.20万(含税),2016-06,5.37万公里,上海,25.6,53.0,180,160,北汽新能源,小型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E  ,HC-59361249,?4.22 ,新车指导价13.90万(含税),2017-11,2.65万公里,郑州,22,45.0,175,170,江淮汽车,微型车,2018-11-28
众泰E200 2016款 三门两座科技版  ,HC-35452990,?3.90 ,新车指导价19.70万(含税),2016-12,1.1万公里,重庆,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
众泰E200 2016款 三门两座科技版   ,HC-58836435,?4.08 ,新车指导价19.70万(含税),2016-11,0.73万公里,青岛,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
知豆D2 2017款 D2 乐享版    ,HC-58308482,?2.80 ,新车指导价16.50万(含税),2017-12,1.78万公里,青岛,18,15.0,90,155,知豆电动车,微型车,2018-11-28
江淮iEV6S 2016款 智享版 ,HC-29561288,?5.58 ,新车指导价23.90万(含税),2016-05,6.6万公里,芜湖,33,85.0,270,251,江淮汽车,小型SUV,2018-11-28
北汽新能源 EC系列 2017款 EC200 灵动版    ,HC-48413011,?4.50 ,新车指导价17.20万(含税),2018-05,0.46万公里,湛江,-,36.0,140,162,北汽新能源,微型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版    ,HC-59216049,?3.50 ,新车指导价12.90万(含税),2018-04,0.2万公里,青岛,19.66,60.0,200,156,江淮汽车,微型车,2018-11-28
江淮iEV6S 2016款 智享版  ,HC-57653835,?5.40 ,新车指导价23.90万(含税),2016-05,2.98万公里,合肥,33,85.0,270,251,江淮汽车,小型SUV,2018-11-28
众泰E200 2016款 三门两座科技版   ,HC-54842586,?4.30 ,新车指导价19.70万(含税),2017-07,1.18万公里,德州,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵秀版    ,HC-58064091,?5.13 ,新车指导价17.10万(含税),2017-12,0.01万公里,大同,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
比亚迪 2017款 秦EV300 旗舰型   ,HC-61744939,?13.00 ,新车指导价27.80万(含税),2017-07,0.51万公里,北京,47.5,160.0,310,300,比亚迪,紧凑型车,2018-11-28
江淮iEV 2014款 iEV4 ,HC-61910788,?3.20 ,新车指导价18.40万(含税),2016-12,3.85万公里,淮北,19.2,42.0,170,152,江淮汽车,小型车,2018-11-28
江淮iEV 2015款 iEV5 ,HC-57719400,?3.80 ,新车指导价19.50万(含税),2016-12,4.89万公里,贵阳,23,50.0,215,170,江淮汽车,小型车,2018-11-28
知豆 2014款 标准型 ,HC-59692276,?2.50 ,新车指导价11.80万(含税),2014-12,2.24万公里,重庆,-,9.0,82,120,知豆电动车,微型车,2018-11-28
江淮iEV 2015款 iEV5  ,HC-59441254,?4.65 ,新车指导价19.50万(含税),2015-12,3.25万公里,太原,23,50.0,215,170,江淮汽车,小型车,2018-11-28
北汽新能源 EV系列 2016款 E150EV 经典版  ,HC-61481667,?4.00 ,新车指导价17.20万(含税),2017-06,3.94万公里,阜阳,25.6,45.0,144,150,北汽新能源,小型车,2018-11-28
江铃集团新能源 江铃E100 2016款 标准型   ,HC-61798825,?3.00 ,新车指导价16.90万(含税),2017-12,0.39万公里,荆州,15,20.0,110,152,江铃集团新能源,微型车,2018-11-28
众泰E200 2016款 三门两座科技版  ,HC-59498948,?4.50 ,新车指导价19.70万(含税),2016-12,2.48万公里,天津,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
江淮iEV6S 2016款 智享版 ,HC-33198190,?6.00 ,新车指导价23.90万(含税),2016-04,3.12万公里,合肥,33,85.0,270,251,江淮汽车,小型SUV,2018-11-28
奇瑞eQ 2015款 豪华型  ,HC-38839005,?3.20 ,新车指导价17.90万(含税),2016-05,3.45万公里,武汉,22.3,41.8,150,151,奇瑞新能源,微型车,2018-11-28
奇瑞eQ 2015款 豪华型   ,HC-56288975,?3.80 ,新车指导价17.90万(含税),2016-06,2.37万公里,天津,22.3,41.8,150,151,奇瑞新能源,微型车,2018-11-28
启辰 晨风 2014款 领风版3.6KW   ,HC-57376131,?7.47 ,新车指导价26.40万(含税),2016-08,5.16万公里,大连,24,80.0,254,175,东风启辰,紧凑型车,2018-11-28
北汽新能源 EV系列 2015款 EV160 轻快版 ,HC-62025069,?4.60 ,新车指导价19.20万(含税),2015-12,5.2万公里,天津,25.6,53.0,180,160,北汽新能源,小型车,2018-11-28
康迪 2016款 K10D   ,HC-58100744,?2.25 ,新车指导价16.40万(含税),2016-12,1.1万公里,青岛,-,35.0,165,151,康迪电动汽车集团,微型车,2018-11-28
众泰E200 2016款 三门两座科技版   ,HC-61991315,?5.00 ,新车指导价19.70万(含税),2017-12,2.12万公里,天津,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
特斯拉MODEL S 2015款 MODEL S 85  ,HC-58567407,?45.00 ,新车指导价83.70万(含税),2015-07,6.39万公里,郑州,85,270.0,-,502,特斯拉,中大型车,2018-11-28
启辰 晨风 2014款 领风版6.6KW  ,HC-59872561,?5.50 ,新车指导价26.90万(含税),2014-03,4.71万公里,大连,24,80.0,254,175,东风启辰,紧凑型车,2018-11-28
特斯拉MODEL S 2014款 MODEL S 85 ,HC-59769792,?45.00 ,新车指导价79.70万(含税),2014-09,6.24万公里,南京,85,270.0,440,502,特斯拉,中大型车,2018-11-28
比亚迪 2018款 秦EV450 智联尊尚型   ,HC-49468913,?17.00 ,新车指导价28.30万(含税),2018-08,0.06万公里,北京,60.48,160.0,310,400,比亚迪,紧凑型车,2018-11-28
国金汽车 国金GM3 2018款 进越型    ,HC-58394292,?10.20 ,新车指导价27.30万(含税),2018-10,0.04万公里,天津,55,120.0,250,350,陕西通家,MPV,2018-11-28
特斯拉MODEL S 2016款 MODEL S 60   ,HC-57370464,?57.50 ,新车指导价76.90万(含税),2017-08,2.13万公里,北京,60,284.8,440,400,特斯拉,中大型车,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵动版  ,HC-49293201,?4.35 ,新车指导价16.50万(含税),2017-12,0.86万公里,济宁,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
特斯拉Model X 2016款 MODEL X 75D  ,HC-17327872,?82.00 ,新车指导价104.70万(含税),2016-12,0.7万公里,北京,75,386.0,-,406,特斯拉,中大型SUV,2018-11-28
长安 逸动 2016款 纯电动尊享型 ,HC-58086175,?6.00 ,新车指导价26.40万(含税),2016-12,2.8万公里,合肥,30,90.0,280,200,长安汽车,紧凑型车,2018-11-28
比亚迪 2016款 秦EV300 旗舰型  ,HC-58905099,?9.50 ,新车指导价33.60万(含税),2017-03,3.91万公里,北京,47.50,160.0,310,300,比亚迪,紧凑型车,2018-11-28
比亚迪 2017款 秦EV300 尊享型   ,HC-39230154,?12.69 ,新车指导价26.70万(含税),2017-12,0.14万公里,东营,47.5,160.0,310,300,比亚迪,紧凑型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E ,HC-58480753,?4.10 ,新车指导价13.90万(含税),2017-05,3.51万公里,太原,22,45.0,175,170,江淮汽车,微型车,2018-11-28
知豆D1 2016款 标准型  ,HC-58794595,?2.70 ,新车指导价17.20万(含税),2016-12,3.03万公里,潍坊,18,15.0,95,180,知豆电动车,微型车,2018-11-28
众泰E200 2016款 三门两座科技版  ,HC-57572110,?4.80 ,新车指导价19.70万(含税),2017-11,0.78万公里,天津,24.5,60.0,165,155,众泰汽车,微型车,2018-11-28
御捷E行 2018款 标准型 ,HC-60310972,?3.10 ,新车指导价14.80万(含税),2017-12,3.91万公里,阜阳,22,36.0,230,153,御捷新能源,微型车,2018-11-28
腾势 2014款 时尚版  ,HC-58692167,?15.00 ,新车指导价40.10万(含税),2015-12,5.85万公里,广州,47.5,86.0,290,253,腾势汽车,中型车,2018-11-28
吉利 帝豪EV 2017款 三厢 EV300 精英型   ,HC-57738792,?9.30 ,新车指导价22.30万(含税),2017-11,2.07万公里,郑州,41,95.0,240,300,吉利汽车,紧凑型车,2018-11-28
江铃集团新能源 江淮iEV6E 2017款 iEV6E  ,HC-53755892,?4.50 ,新车指导价13.90万(含税),2017-09,0.66万公里,太原,22,45.0,175,170,江淮汽车,微型车,2018-11-28
知豆D2 2016款 D2  ,HC-57974081,?3.00 ,新车指导价17.20万(含税),2016-08,0.35万公里,天津,18,15.0,95,155,知豆电动车,微型车,2018-11-28
北汽新能源 EC系列 2017款 EC180 灵动版  ,HC-60106613,?4.80 ,新车指导价16.50万(含税),2017-12,0.08万公里,邢台,20.3,30.0,140,156,北汽新能源,微型车,2018-11-28
