title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type,RV_ratio,today,months




























































































































































































",480000.0,887000.0,2015-07-01,87000.0,昆明,85.0,314.7,,528.0,特斯拉,中大型车,0.5411499436302142,2018-11-23,40

长安 逸动 2016款 纯电动尊享型   ,"车源号：HC-59137836










































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",66800.0,264000.0,2017-12-01,15300.0,重庆,30.0,90.0,280.0,200.0,长安汽车,紧凑型车,0.25303030303030305,2018-11-23,11

众泰 2014款 云100 舒适型 ,"车源号：HC-57679934









































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",25000.0,172000.0,2015-11-01,14100.0,深圳,18.0,18.0,120.0,155.0,众泰汽车,微型车,0.14534883720930233,2018-11-23,36

知豆D2 2015款 D2  ,"车源号：HC-54731280








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",23000.0,172000.0,2015-11-01,26200.0,南昌,,9.0,85.0,180.0,知豆电动车,微型车,0.13372093023255813,2018-11-23,36

长安欧尚 奔奔mini-e 2017款 舒适型  ,"车源号：HC-59446020







































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",30000.0,93000.0,2017-10-01,3800.0,菏泽,17.3,30.0,150.0,151.0,长安汽车,微型车,0.3225806451612903,2018-11-23,13

江淮iEV6S 2016款 智享版  ,"车源号：HC-37008795






































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",55000.0,239000.0,2016-05-01,49100.0,合肥,33.0,85.0,270.0,251.0,江淮汽车,小型SUV,0.2301255230125523,2018-11-23,30

北汽新能源 EC系列 2017款 EC180 灵动版   ,"车源号：HC-44814584





































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",41000.0,165000.0,2017-08-01,6899.999999999999,阜阳,20.3,30.0,140.0,156.0,北汽新能源,微型车,0.24848484848484848,2018-11-23,15

吉利 帝豪EV 2016款 三厢 EV 精英型   ,"车源号：HC-56274075




































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",76000.0,260000.0,2016-10-01,55300.0,北京,45.3,95.0,240.0,253.0,吉利汽车,紧凑型车,0.2923076923076923,2018-11-23,25

北汽新能源 EC系列 2017款 EC200 灵动版   ,"车源号：HC-59282645



































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",50000.0,172000.0,2017-11-01,12800.0,温州,,36.0,140.0,162.0,北汽新能源,微型车,0.29069767441860467,2018-11-23,12

众泰E200 2016款 三门两座科技版  ,"车源号：HC-57572110


































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",48000.0,197000.0,2017-11-01,7800.0,天津,24.5,60.0,165.0,155.0,众泰汽车,微型车,0.2436548223350254,2018-11-23,12

江淮iEV 2015款 iEV4 豪华智能型  ,"车源号：HC-58054030

































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",35000.0,168000.0,2016-11-01,35600.0,天津,19.2,42.0,170.0,152.0,江淮汽车,小型车,0.20833333333333334,2018-11-23,24

江淮iEV 2017款 iEV4 时光版   ,"车源号：HC-58599298
































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",58000.0,139000.0,2017-12-01,100.0,邯郸,22.0,60.0,200.0,166.0,江淮汽车,小型车,0.4172661870503597,2018-11-23,11

江铃集团新能源 江淮iEV6E 2017款 iEV6E   ,"车源号：HC-56484225































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































",45000.0,139000.0,2017-11-01,1500.0,济宁,22.0,45.0,175.0,170.0,江淮汽车,微型车,0.3237410071942446,2018-11-23,12

川汽野马 野马EC30 2017款 舒适型  ,"车源号：HC-56941800


























































































































































































































































































































































































