title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type

































































































































































































































































































































































































































































































































































































































































































































































































",?3.80 ,新车指导价19.70万(含税),2016-12,1.11万公里,杭州,24.5,60.0,165,155,众泰汽车,微型车

奇瑞eQ1 2017款 智享版 2座   ,"车源号：HC-58904753
































































































































































































































































































































































































































































































































































































































































































































































































",?5.60 ,新车指导价17.60万(含税),2017-08,0.66万公里,济宁,18.2,30.0,120,151,奇瑞新能源,微型车

比亚迪e6 2012款 先行者  ,"车源号：HC-40327753































































































































































































































































































































































































































































































































































































































































































































































































",?10.50 ,新车指导价40.10万(含税),2013-05,5.75万公里,深圳,57,90.0,450,300,比亚迪,MPV

北汽新能源 EC系列 2017款 EC200 灵动版   ,"车源号：HC-37476916






























































































































































































































































































































































































































































































































































































































































































































































































",?4.60 ,新车指导价17.20万(含税),2017-09,2.43万公里,淮安,-,36.0,140,162,北汽新能源,微型车

众泰 芝麻E30 2016款 E30标准型   ,"车源号：HC-56737783





























































































































































































































































































































































































































































































































































































































































































































































































",?4.80 ,新车指导价19.50万(含税),2018-06,1.74万公里,南京,16,30.0,150,150,众泰汽车,微型车

荣威eRX5 2017款 ERX5 EV400 电动互联网至尊版   ,"车源号：HC-37321831




























































































































































































































































































































































































































































































































































































































































































































































































",?19.00 ,新车指导价32.20万(含税),2018-03,0.39万公里,北京,48.3,85.0,255,320,上汽集团,紧凑型SUV

特斯拉Model X 2016款 MODEL X 90D  ,"车源号：HC-51772351



























































































































































































































































































































































































































































































































































































































































































































































































",?76.60 ,新车指导价106.90万(含税),2017-03,4.16万公里,北京,90,386.0,-,489,特斯拉,中大型SUV

东风小康EC36 2017款 基本型   ,"车源号：HC-58680904


























































































































































































































































































































































































































































































































































































































































































































































































",?6.80 ,新车指导价13.80万(含税),2017-12,1.48万公里,绍兴,38.2,60.0,191,200,东风小康,微面

众泰E200 2016款 三门两座科技版   ,"车源号：HC-56902801

























































































































































































































































































































































































































































































































































































































































































































































































",?4.38 ,新车指导价19.70万(含税),2016-09,1.07万公里,中山,24.5,60.0,165,155,众泰汽车,微型车

知豆D2 2015款 D2 ,"车源号：HC-55758911
























































































































































































































































































































































































































































































































































































































































































































































































",?3.00 ,新车指导价17.20万(含税),2015-11,0.72万公里,开封,-,9.0,85,180,知豆电动车,微型车

长安 逸动 2018款 EV300 尊享型   ,"车源号：HC-54406080























































































































































































































































































































































































































































































































































































































































































































































































",?9.90 ,新车指导价21.70万(含税),2018-03,3.31万公里,深圳,45,90.0,280,300,长安汽车,紧凑型车

江淮iEV 2015款 iEV4 豪华型  ,"车源号：HC-56119287






















































































































































































































































































































































































































































































































































































































































































































































































",?3.05 ,新车指导价16.60万(含税),2014-09,2.84万公里,淄博,19.2,42.0,170,152,江淮汽车,小型车

众泰E200 2016款 三门两座科技版   ,"车源号：HC-56747490





















































































































































































































































































































































































































































































































































































































































































































































































",?3.90 ,新车指导价19.70万(含税),2016-11,2.76万公里,天津,24.5,60.0,165,155,众泰汽车,微型车

奇瑞eQ 2015款 豪华型  ,"车源号：HC-37765449




















































































































































































































































































































































































































































































































































































































































































































































































",?3.20 ,新车指导价17.90万(含税),2016-03,2.06万公里,杭州,22.3,41.8,150,151,奇瑞新能源,微型车

长安 奔奔 2017款 纯电动 180公里标准型   ,"车源号：HC-53932267



















































































































































































































































































































































































































































































































































































































































































































































































",?5.49 ,新车指导价16.80万(含税),2017-03,1.21万公里,济宁,23.2,55.0,170,180,长安汽车,微型车

传祺GE3 2017款 310 尊享版   ,"车源号：HC-58691993


















































































































































































































































































































































































































































































































































































































































































































































































",?15.00 ,新车指导价26.70万(含税),2017-08,2.19万公里,天津,47,132.0,290,310,广汽新能源,小型SUV

特斯拉Model X 2016款 Model X 75D   ,"车源号：HC-45750242






















































































































































































































































